,Dates,variable,value
232,1991-12-16,PCA1,0.5410315569800287
233,1991-12-17,PCA1,0.5372711983477368
234,1991-12-18,PCA1,0.5393787748772554
235,1991-12-19,PCA1,0.5394738858024528
236,1991-12-20,PCA1,0.5538935631302004
237,1991-12-23,PCA1,0.5543791707120667
238,1991-12-24,PCA1,0.5962101671543022
239,1991-12-25,PCA1,0.5905771647226353
240,1991-12-26,PCA1,0.5987865449164628
241,1991-12-27,PCA1,0.6136846682817911
242,1991-12-30,PCA1,0.6189394610293073
243,1991-12-31,PCA1,0.6465492536733981
244,1992-01-01,PCA1,0.6401156261769191
245,1992-01-02,PCA1,0.6406150523005878
246,1992-01-03,PCA1,0.6303776388046701
247,1992-01-06,PCA1,0.6269485112157226
248,1992-01-07,PCA1,0.6382550098448138
249,1992-01-08,PCA1,0.6313247482807305
250,1992-01-09,PCA1,0.6235376129057846
251,1992-01-10,PCA1,0.6175857227253362
252,1992-01-13,PCA1,0.6285819758948308
253,1992-01-14,PCA1,0.6238050915404345
254,1992-01-15,PCA1,0.6259367369285223
255,1992-01-16,PCA1,0.6120672068962297
256,1992-01-17,PCA1,0.5827347559202086
257,1992-01-20,PCA1,0.57837777714029
258,1992-01-21,PCA1,0.5614176142649827
259,1992-01-22,PCA1,0.5475901325047474
260,1992-01-23,PCA1,0.561256539846473
261,1992-01-24,PCA1,0.5652292119846374
262,1992-01-27,PCA1,0.5663136227764156
263,1992-01-28,PCA1,0.5721143836015133
264,1992-01-29,PCA1,0.5705135220057944
265,1992-01-30,PCA1,0.569041640412499
266,1992-01-31,PCA1,0.5682819840436372
267,1992-02-03,PCA1,0.5711949363026718
268,1992-02-04,PCA1,0.5701315484571471
269,1992-02-05,PCA1,0.5662596451889177
270,1992-02-06,PCA1,0.5628990885428447
271,1992-02-07,PCA1,0.5612757390938218
272,1992-02-10,PCA1,0.5486618170672776
273,1992-02-11,PCA1,0.5539071421011829
274,1992-02-12,PCA1,0.5605712288252394
275,1992-02-13,PCA1,0.5610912047157539
276,1992-02-14,PCA1,0.5630706592248962
277,1992-02-17,PCA1,0.5685969590861536
278,1992-02-18,PCA1,0.5743399546312303
279,1992-02-19,PCA1,0.5774072156010839
280,1992-02-20,PCA1,0.5737114075870511
281,1992-02-21,PCA1,0.5760547786415414
282,1992-02-24,PCA1,0.5769145092207046
283,1992-02-25,PCA1,0.5818608040275722
284,1992-02-26,PCA1,0.5804045005624726
285,1992-02-27,PCA1,0.5878512520833701
286,1992-02-28,PCA1,0.5864441606336568
287,1992-03-02,PCA1,0.5861476639817566
288,1992-03-03,PCA1,0.5859134988648576
289,1992-03-04,PCA1,0.5898837813611499
290,1992-03-05,PCA1,0.5920707927627744
291,1992-03-06,PCA1,0.5888331443300286
292,1992-03-09,PCA1,0.5664784060855804
293,1992-03-10,PCA1,0.5713479317739686
294,1992-03-11,PCA1,0.5727392957729266
295,1992-03-12,PCA1,0.5804556710258125
296,1992-03-13,PCA1,0.5741722676526254
297,1992-03-16,PCA1,0.5762416915156341
298,1992-03-17,PCA1,0.5588949392148521
299,1992-03-18,PCA1,0.5571014312997657
300,1992-03-19,PCA1,0.5468781890424735
301,1992-03-20,PCA1,0.5317474604775225
302,1992-03-23,PCA1,0.5303899446973654
303,1992-03-24,PCA1,0.48972932852444245
304,1992-03-25,PCA1,0.48279268719977897
305,1992-03-26,PCA1,0.48675293003349945
306,1992-03-27,PCA1,0.48827205700642906
307,1992-03-30,PCA1,0.48986241654767637
308,1992-03-31,PCA1,0.4577081924801081
309,1992-04-01,PCA1,0.46030744507772936
310,1992-04-02,PCA1,0.48409988265044107
311,1992-04-03,PCA1,0.49157609282135195
312,1992-04-06,PCA1,0.45751665186994955
313,1992-04-07,PCA1,0.47540468655826446
314,1992-04-08,PCA1,0.49868015274091876
315,1992-04-09,PCA1,0.5331445862172819
316,1992-04-10,PCA1,0.5653837641916154
317,1992-04-13,PCA1,0.6423800530677752
318,1992-04-14,PCA1,0.6603213019464832
