,DATE,variable,value
377,1981-10-12,DFII10,
378,1981-10-13,DFII10,
379,1981-10-14,DFII10,
380,1981-10-15,DFII10,
381,1981-10-16,DFII10,
382,1981-10-19,DFII10,
383,1981-10-20,DFII10,
384,1981-10-21,DFII10,
385,1981-10-22,DFII10,
386,1981-10-23,DFII10,
387,1981-10-26,DFII10,
388,1981-10-27,DFII10,
389,1981-10-28,DFII10,
390,1981-10-29,DFII10,
391,1981-10-30,DFII10,
392,1981-11-02,DFII10,
393,1981-11-03,DFII10,
394,1981-11-04,DFII10,
395,1981-11-05,DFII10,
396,1981-11-06,DFII10,
397,1981-11-09,DFII10,
398,1981-11-10,DFII10,
399,1981-11-11,DFII10,
400,1981-11-12,DFII10,
401,1981-11-13,DFII10,
402,1981-11-16,DFII10,
403,1981-11-17,DFII10,
404,1981-11-18,DFII10,
405,1981-11-19,DFII10,
406,1981-11-20,DFII10,
407,1981-11-23,DFII10,
408,1981-11-24,DFII10,
409,1981-11-25,DFII10,
410,1981-11-26,DFII10,
411,1981-11-27,DFII10,
412,1981-11-30,DFII10,
413,1981-12-01,DFII10,
414,1981-12-02,DFII10,
415,1981-12-03,DFII10,
416,1981-12-04,DFII10,
417,1981-12-07,DFII10,
418,1981-12-08,DFII10,
419,1981-12-09,DFII10,
420,1981-12-10,DFII10,
421,1981-12-11,DFII10,
422,1981-12-14,DFII10,
423,1981-12-15,DFII10,
424,1981-12-16,DFII10,
425,1981-12-17,DFII10,
426,1981-12-18,DFII10,
427,1981-12-21,DFII10,
428,1981-12-22,DFII10,
429,1981-12-23,DFII10,
430,1981-12-24,DFII10,
431,1981-12-25,DFII10,
432,1981-12-28,DFII10,
433,1981-12-29,DFII10,
434,1981-12-30,DFII10,
435,1981-12-31,DFII10,
436,1982-01-01,DFII10,
437,1982-01-04,DFII10,
438,1982-01-05,DFII10,
439,1982-01-06,DFII10,
440,1982-01-07,DFII10,
441,1982-01-08,DFII10,
442,1982-01-11,DFII10,
443,1982-01-12,DFII10,
444,1982-01-13,DFII10,
445,1982-01-14,DFII10,
446,1982-01-15,DFII10,
447,1982-01-18,DFII10,
448,1982-01-19,DFII10,
449,1982-01-20,DFII10,
450,1982-01-21,DFII10,
451,1982-01-22,DFII10,
452,1982-01-25,DFII10,
453,1982-01-26,DFII10,
454,1982-01-27,DFII10,
455,1982-01-28,DFII10,
456,1982-01-29,DFII10,
457,1982-02-01,DFII10,
458,1982-02-02,DFII10,
459,1982-02-03,DFII10,
460,1982-02-04,DFII10,
461,1982-02-05,DFII10,
462,1982-02-08,DFII10,
463,1982-02-09,DFII10,
464,1982-02-10,DFII10,
465,1982-02-11,DFII10,
466,1982-02-12,DFII10,
467,1982-02-15,DFII10,
468,1982-02-16,DFII10,
469,1982-02-17,DFII10,
470,1982-02-18,DFII10,
471,1982-02-19,DFII10,
472,1982-02-22,DFII10,
473,1982-02-23,DFII10,
474,1982-02-24,DFII10,
475,1982-02-25,DFII10,
476,1982-02-26,DFII10,
477,1982-03-01,DFII10,
478,1982-03-02,DFII10,
479,1982-03-03,DFII10,
480,1982-03-04,DFII10,
481,1982-03-05,DFII10,
482,1982-03-08,DFII10,
483,1982-03-09,DFII10,
484,1982-03-10,DFII10,
485,1982-03-11,DFII10,
486,1982-03-12,DFII10,
487,1982-03-15,DFII10,
488,1982-03-16,DFII10,
489,1982-03-17,DFII10,
490,1982-03-18,DFII10,
491,1982-03-19,DFII10,
492,1982-03-22,DFII10,
493,1982-03-23,DFII10,
494,1982-03-24,DFII10,
495,1982-03-25,DFII10,
496,1982-03-26,DFII10,
497,1982-03-29,DFII10,
498,1982-03-30,DFII10,
499,1982-03-31,DFII10,
500,1982-04-01,DFII10,
501,1982-04-02,DFII10,
502,1982-04-05,DFII10,
503,1982-04-06,DFII10,
504,1982-04-07,DFII10,
505,1982-04-08,DFII10,
506,1982-04-09,DFII10,
507,1982-04-12,DFII10,
508,1982-04-13,DFII10,
509,1982-04-14,DFII10,
510,1982-04-15,DFII10,
511,1982-04-16,DFII10,
512,1982-04-19,DFII10,
513,1982-04-20,DFII10,
514,1982-04-21,DFII10,
515,1982-04-22,DFII10,
516,1982-04-23,DFII10,
517,1982-04-26,DFII10,
518,1982-04-27,DFII10,
519,1982-04-28,DFII10,
520,1982-04-29,DFII10,
521,1982-04-30,DFII10,
522,1982-05-03,DFII10,
523,1982-05-04,DFII10,
524,1982-05-05,DFII10,
525,1982-05-06,DFII10,
526,1982-05-07,DFII10,
527,1982-05-10,DFII10,
528,1982-05-11,DFII10,
529,1982-05-12,DFII10,
530,1982-05-13,DFII10,
531,1982-05-14,DFII10,
532,1982-05-17,DFII10,
533,1982-05-18,DFII10,
534,1982-05-19,DFII10,
535,1982-05-20,DFII10,
536,1982-05-21,DFII10,
537,1982-05-24,DFII10,
538,1982-05-25,DFII10,
539,1982-05-26,DFII10,
540,1982-05-27,DFII10,
541,1982-05-28,DFII10,
542,1982-05-31,DFII10,
543,1982-06-01,DFII10,
544,1982-06-02,DFII10,
545,1982-06-03,DFII10,
546,1982-06-04,DFII10,
547,1982-06-07,DFII10,
548,1982-06-08,DFII10,
549,1982-06-09,DFII10,
550,1982-06-10,DFII10,
551,1982-06-11,DFII10,
552,1982-06-14,DFII10,
553,1982-06-15,DFII10,
554,1982-06-16,DFII10,
555,1982-06-17,DFII10,
556,1982-06-18,DFII10,
557,1982-06-21,DFII10,
558,1982-06-22,DFII10,
559,1982-06-23,DFII10,
560,1982-06-24,DFII10,
561,1982-06-25,DFII10,
562,1982-06-28,DFII10,
563,1982-06-29,DFII10,
564,1982-06-30,DFII10,
565,1982-07-01,DFII10,
566,1982-07-02,DFII10,
567,1982-07-05,DFII10,
568,1982-07-06,DFII10,
569,1982-07-07,DFII10,
570,1982-07-08,DFII10,
571,1982-07-09,DFII10,
572,1982-07-12,DFII10,
573,1982-07-13,DFII10,
574,1982-07-14,DFII10,
575,1982-07-15,DFII10,
576,1982-07-16,DFII10,
577,1982-07-19,DFII10,
578,1982-07-20,DFII10,
579,1982-07-21,DFII10,
580,1982-07-22,DFII10,
581,1982-07-23,DFII10,
582,1982-07-26,DFII10,
583,1982-07-27,DFII10,
584,1982-07-28,DFII10,
585,1982-07-29,DFII10,
586,1982-07-30,DFII10,
587,1982-08-02,DFII10,
588,1982-08-03,DFII10,
589,1982-08-04,DFII10,
590,1982-08-05,DFII10,
591,1982-08-06,DFII10,
592,1982-08-09,DFII10,
593,1982-08-10,DFII10,
594,1982-08-11,DFII10,
595,1982-08-12,DFII10,
596,1982-08-13,DFII10,
597,1982-08-16,DFII10,
598,1982-08-17,DFII10,
599,1982-08-18,DFII10,
600,1982-08-19,DFII10,
601,1982-08-20,DFII10,
602,1982-08-23,DFII10,
603,1982-08-24,DFII10,
604,1982-08-25,DFII10,
605,1982-08-26,DFII10,
606,1982-08-27,DFII10,
607,1982-08-30,DFII10,
608,1982-08-31,DFII10,
609,1982-09-01,DFII10,
610,1982-09-02,DFII10,
611,1982-09-03,DFII10,
612,1982-09-06,DFII10,
613,1982-09-07,DFII10,
614,1982-09-08,DFII10,
615,1982-09-09,DFII10,
616,1982-09-10,DFII10,
617,1982-09-13,DFII10,
618,1982-09-14,DFII10,
619,1982-09-15,DFII10,
620,1982-09-16,DFII10,
621,1982-09-17,DFII10,
622,1982-09-20,DFII10,
623,1982-09-21,DFII10,
624,1982-09-22,DFII10,
625,1982-09-23,DFII10,
626,1982-09-24,DFII10,
627,1982-09-27,DFII10,
628,1982-09-28,DFII10,
629,1982-09-29,DFII10,
630,1982-09-30,DFII10,
631,1982-10-01,DFII10,
632,1982-10-04,DFII10,
633,1982-10-05,DFII10,
634,1982-10-06,DFII10,
635,1982-10-07,DFII10,
636,1982-10-08,DFII10,
637,1982-10-11,DFII10,
638,1982-10-12,DFII10,
639,1982-10-13,DFII10,
640,1982-10-14,DFII10,
641,1982-10-15,DFII10,
642,1982-10-18,DFII10,
643,1982-10-19,DFII10,
644,1982-10-20,DFII10,
645,1982-10-21,DFII10,
646,1982-10-22,DFII10,
647,1982-10-25,DFII10,
648,1982-10-26,DFII10,
649,1982-10-27,DFII10,
650,1982-10-28,DFII10,
651,1982-10-29,DFII10,
652,1982-11-01,DFII10,
653,1982-11-02,DFII10,
654,1982-11-03,DFII10,
655,1982-11-04,DFII10,
656,1982-11-05,DFII10,
657,1982-11-08,DFII10,
658,1982-11-09,DFII10,
659,1982-11-10,DFII10,
660,1982-11-11,DFII10,
661,1982-11-12,DFII10,
662,1982-11-15,DFII10,
663,1982-11-16,DFII10,
664,1982-11-17,DFII10,
665,1982-11-18,DFII10,
666,1982-11-19,DFII10,
667,1982-11-22,DFII10,
668,1982-11-23,DFII10,
669,1982-11-24,DFII10,
670,1982-11-25,DFII10,
671,1982-11-26,DFII10,
672,1982-11-29,DFII10,
